1yr_return,cat_avg_ret_1m,cat_avg_ret_1y,cat_avg_ret_2y,cat_avg_ret_3m,cat_avg_ret_3y,cat_avg_ret_5y,cat_avg_ret_6m,category,category_url,crisil_rating,diff_fund_cat_1m,diff_fund_cat_1y,diff_fund_cat_2y,diff_fund_cat_3m,diff_fund_cat_3y,diff_fund_cat_5y,diff_fund_cat_6m,fund_family_aum,fund_family_name,fund_family_shortcode,fund_family_url,fund_ret_1m,fund_ret_1y,fund_ret_2y,fund_ret_3m,fund_ret_3y,fund_ret_5y,fund_ret_6m,latest_nav,scheme_aum,scheme_name,scheme_risk_text,scheme_url
7.4,0.54,8.85,8.94,1.71,0.0,0.0,4.59,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.24000000000000005,-1.4299999999999997,10.38,-0.6099999999999999,0.0,0.0,-1.42,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.3,7.42,19.32,1.1,0.0,0.0,3.17,12.30,172.93,SBI Debt Fund Series C - 18 (1100 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-18-1100-days-regular-plan/MSB1393
7.8,0.56,9.1,9.21,1.77,0.0,0.0,4.7,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.21000000000000008,-1.2599999999999998,11.05,-0.56,0.0,0.0,-1.31,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.35,7.84,20.26,1.21,0.0,0.0,3.39,12.34,312.97,SBI Debt Fund Series C - 19 (1100 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-19-1100-days-direct-plan/MSB1399
7.5,0.54,8.85,8.94,1.71,0.0,0.0,4.59,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.22000000000000003,-1.38,10.480000000000002,-0.5899999999999999,0.0,0.0,-1.38,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.32,7.47,19.42,1.12,0.0,0.0,3.21,12.24,55.92,SBI Debt Fund Series C - 19 (1100 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-19-1100-days-regular-plan/MSB1397
8.0,0.56,9.1,9.21,1.77,0.0,0.0,4.7,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.17000000000000004,-1.049999999999999,11.32,-0.44999999999999996,0.0,0.0,-1.1400000000000001,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.39,8.05,20.53,1.32,0.0,0.0,3.56,12.31,109.95,SBI Debt Fund Series C - 20 (1100 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-20-1100-days-direct-plan/MSB1407
7.7,0.54,8.85,8.94,1.71,0.0,0.0,4.59,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.18000000000000005,-1.1599999999999993,10.790000000000001,-0.48,0.0,0.0,-1.1999999999999997,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.36,7.69,19.73,1.23,0.0,0.0,3.39,12.22,54.42,SBI Debt Fund Series C - 20 (1100 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-20-1100-days-regular-plan/MSB1405
8.7,0.56,9.1,9.21,1.77,0.0,0.0,4.7,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.11000000000000004,-0.4499999999999993,9.879999999999999,-0.3700000000000001,0.0,0.0,-1.12,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.45,8.65,19.09,1.4,0.0,0.0,3.58,12.10,165.92,SBI Debt Fund Series C - 21 (1100 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-21-1100-days-direct-plan/MSB1411
8.3,0.54,8.85,8.94,1.71,0.0,0.0,4.59,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.12000000000000005,-0.5800000000000001,9.31,-0.3999999999999999,0.0,0.0,-1.19,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.42,8.27,18.25,1.31,0.0,0.0,3.4,12.01,91.91,SBI Debt Fund Series C - 21 (1100 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-21-1100-days-regular-plan/MSB1409
9.3,0.56,9.1,9.21,1.77,0.0,0.0,4.7,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.020000000000000018,0.16999999999999993,11.71,0.43999999999999995,0.0,0.0,0.5499999999999998,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.54,9.27,20.92,2.21,0.0,0.0,5.25,12.24,84.67,SBI Debt Fund Series C - 22 (1100 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-22-1100-days-direct-plan/MSB1415
8.9,0.54,8.85,8.94,1.71,0.0,0.0,4.59,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.020000000000000018,0.08000000000000007,11.230000000000002,0.41999999999999993,0.0,0.0,0.4900000000000002,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.52,8.93,20.17,2.13,0.0,0.0,5.08,12.15,241.26,SBI Debt Fund Series C - 22 (1100 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-22-1100-days-regular-plan/MSB1413
8.3,0.54,8.85,8.94,1.71,0.0,0.0,4.59,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.020000000000000018,-0.5399999999999991,11.47,-0.1499999999999999,0.0,0.0,-0.79,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.52,8.31,20.41,1.56,0.0,0.0,3.8,12.20,359.15,SBI Debt Fund Series C - 23 (1100 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-23-1100-days-regular-plan/MSB1417
